epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.1732,3.45118,3.65454,1.95188,0.04964,0.1,0.0466,0.0206,2.7496,2.86277,1.48453,0.0902242,0.000199506,0.000199506
2,120.332,2.73798,2.92076,1.46523,0.08163,0.11162,0.07611,0.03536,2.45567,2.45875,1.34801,0.0804238,0.000399151,0.000399151
3,177.904,2.52325,2.65281,1.37203,0.12745,0.13914,0.09569,0.0463,2.29673,2.34469,1.30618,0.0706221,0.000597379,0.000597379
4,235.122,2.39688,2.47703,1.32143,0.16091,0.12812,0.09937,0.04961,2.21763,2.12913,1.27488,0.0608178,0.000793134,0.000793134
5,291.256,2.30247,2.376,1.28608,0.17458,0.1253,0.10629,0.05453,2.2022,2.21831,1.2377,0.0510101,0.000985376,0.000985376
6,347.055,2.23514,2.27951,1.25554,0.19432,0.14042,0.11759,0.06129,2.11477,2.03088,1.23496,0.0411978,0.00117309,0.00117309
7,403.561,2.21168,2.2418,1.24323,0.2241,0.14583,0.13059,0.06897,2.07207,2.00761,1.19956,0.03138,0.00135528,0.00135528
8,458.226,2.1603,2.18251,1.22308,0.2228,0.16264,0.13213,0.06929,2.02639,1.96166,1.20289,0.0215557,0.001531,0.001531
9,513.198,2.13111,2.13729,1.21062,0.24691,0.16396,0.14488,0.07859,1.99238,1.86282,1.18116,0.011724,0.00169934,0.00169934
10,568.694,2.11446,2.10067,1.20163,0.23978,0.17173,0.14995,0.08141,1.96782,1.8464,1.15773,0.00188413,0.00185944,0.00185944
11,623.512,2.08628,2.07292,1.19292,0.23023,0.16921,0.14557,0.07931,1.9462,1.83121,1.16289,0.00182812,0.00182812,0.00182812
12,678.592,2.06109,2.0352,1.18096,0.2529,0.17027,0.15794,0.08832,1.92323,1.80277,1.15483,0.00179346,0.00179346,0.00179346
13,734.671,2.05978,2.03012,1.17858,0.25866,0.18033,0.16271,0.08973,1.94504,1.78562,1.15171,0.00175607,0.00175607,0.00175607
14,790.434,2.04099,2.00086,1.17206,0.25348,0.18095,0.16243,0.0897,1.92008,1.7715,1.14302,0.00171609,0.00171609,0.00171609
15,845.605,2.02178,1.97486,1.16323,0.27323,0.18681,0.17267,0.09593,1.88861,1.75255,1.13246,0.00167368,0.00167368,0.00167368
16,900.747,2.00832,1.95849,1.16017,0.2801,0.18007,0.16839,0.0938,1.90766,1.77225,1.12871,0.00162901,0.00162901,0.00162901
17,955.606,2.00216,1.94761,1.15663,0.27503,0.18311,0.16982,0.094,1.8839,1.72265,1.12772,0.00158224,0.00158224,0.00158224
18,1009.71,1.99583,1.93585,1.1534,0.2684,0.18839,0.177,0.09916,1.88177,1.73605,1.12659,0.00153358,0.00153358,0.00153358
19,1064.55,1.98564,1.92539,1.14686,0.28219,0.19261,0.17838,0.1007,1.87248,1.70745,1.11873,0.0014832,0.0014832,0.0014832
20,1119.23,1.97363,1.90317,1.14309,0.28841,0.1897,0.17673,0.09853,1.86777,1.70937,1.11418,0.00143131,0.00143131,0.00143131
21,1174.02,1.96806,1.9028,1.14083,0.28118,0.19073,0.17917,0.10114,1.8598,1.71074,1.11405,0.00137812,0.00137812,0.00137812
22,1229.39,1.97418,1.90259,1.14188,0.28823,0.19598,0.18302,0.10387,1.84467,1.70282,1.10328,0.00132382,0.00132382,0.00132382
23,1284.47,1.96112,1.88189,1.13633,0.30589,0.19505,0.18832,0.10656,1.83742,1.67531,1.1137,0.00126864,0.00126864,0.00126864
24,1338.9,1.93628,1.85611,1.12846,0.28111,0.20483,0.19201,0.10872,1.82847,1.65795,1.09946,0.0012128,0.0012128,0.0012128
25,1392.96,1.94515,1.8612,1.13224,0.29625,0.20334,0.19368,0.10993,1.81823,1.65213,1.09532,0.00115651,0.00115651,0.00115651
26,1447.11,1.93969,1.859,1.12919,0.30173,0.20217,0.19522,0.11168,1.82481,1.64336,1.09917,0.0011,0.0011,0.0011
27,1502.2,1.93275,1.84763,1.12618,0.3101,0.20857,0.19617,0.11193,1.82447,1.64402,1.0972,0.00104349,0.00104349,0.00104349
28,1557.39,1.93031,1.84168,1.12235,0.3119,0.19875,0.19511,0.11162,1.82035,1.64422,1.10198,0.0009872,0.0009872,0.0009872
29,1611.82,1.92318,1.83341,1.1203,0.29775,0.20963,0.20118,0.11614,1.80751,1.63342,1.09607,0.000931357,0.000931357,0.000931357
30,1666.49,1.92273,1.82786,1.12221,0.3177,0.20733,0.19845,0.11367,1.80797,1.61713,1.09384,0.000876179,0.000876179,0.000876179
31,1720.31,1.91028,1.8182,1.11807,0.30391,0.20964,0.19979,0.11489,1.81162,1.63193,1.09648,0.000821885,0.000821885,0.000821885
32,1775.08,1.901,1.80629,1.11406,0.30441,0.21041,0.20154,0.11672,1.80604,1.61206,1.0874,0.000768688,0.000768688,0.000768688
33,1829.91,1.90494,1.80381,1.11644,0.32986,0.21171,0.20563,0.11861,1.79335,1.60138,1.08786,0.000716799,0.000716799,0.000716799
34,1885.21,1.90101,1.79594,1.11122,0.31307,0.21954,0.20461,0.11732,1.79594,1.59943,1.08512,0.000666422,0.000666422,0.000666422
35,1940.7,1.90088,1.79217,1.11053,0.31447,0.21383,0.20583,0.11785,1.79244,1.606,1.08493,0.000617756,0.000617756,0.000617756
36,1995.9,1.87991,1.77442,1.10683,0.30961,0.21849,0.20832,0.11981,1.78256,1.60061,1.08166,0.000570993,0.000570993,0.000570993
37,2051.62,1.89605,1.78104,1.10531,0.31682,0.21445,0.20656,0.11923,1.79385,1.59835,1.0845,0.000526318,0.000526318,0.000526318
38,2106.18,1.88001,1.77075,1.10548,0.33133,0.2122,0.20817,0.11964,1.78742,1.59283,1.08079,0.000483908,0.000483908,0.000483908
39,2161.99,1.88667,1.76625,1.10377,0.32165,0.22309,0.21117,0.12131,1.78382,1.58346,1.07997,0.000443928,0.000443928,0.000443928
40,2217.42,1.88592,1.76284,1.10281,0.33232,0.21476,0.20868,0.12023,1.7824,1.58881,1.07556,0.000406538,0.000406538,0.000406538
41,2273.15,1.87018,1.75627,1.10309,0.32046,0.21824,0.2096,0.12003,1.78131,1.58459,1.07733,0.000371885,0.000371885,0.000371885
42,2328.56,1.87603,1.75577,1.09922,0.32281,0.22343,0.21319,0.12279,1.77724,1.57463,1.07825,0.000340105,0.000340105,0.000340105
43,2383.89,1.86971,1.753,1.1001,0.32909,0.22305,0.21418,0.12311,1.77504,1.57881,1.07956,0.000311324,0.000311324,0.000311324
44,2439.16,1.86807,1.74731,1.09894,0.33299,0.22171,0.21422,0.12312,1.77369,1.56932,1.07415,0.000285656,0.000285656,0.000285656
45,2494.3,1.86914,1.74354,1.09723,0.33498,0.22312,0.21512,0.12341,1.77467,1.57065,1.07395,0.000263201,0.000263201,0.000263201
46,2549.06,1.86718,1.74172,1.09585,0.32738,0.22045,0.2143,0.12353,1.77655,1.57524,1.07386,0.000244049,0.000244049,0.000244049
47,2604.68,1.86878,1.74513,1.09567,0.33445,0.22324,0.21667,0.12421,1.77252,1.57088,1.073,0.000228275,0.000228275,0.000228275
48,2659.67,1.85566,1.73411,1.09068,0.33903,0.22175,0.21711,0.12448,1.76896,1.56807,1.07504,0.000215941,0.000215941,0.000215941
49,2714.69,1.85267,1.73065,1.09239,0.33525,0.22195,0.21556,0.12397,1.77103,1.56524,1.07169,0.000207097,0.000207097,0.000207097
50,2769.99,1.86134,1.73571,1.09422,0.32705,0.22781,0.21572,0.12397,1.7639,1.56211,1.07136,0.000201776,0.000201776,0.000201776
