epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3662.02,1.47987,1.17183,1.12854,0.48414,0.368,0.38121,0.22629,1.40616,1.10377,1.11538,0.00898525,0.00898525,0.00898525
43,3748.59,1.47955,1.16436,1.12814,0.48283,0.37557,0.38699,0.22955,1.39459,1.09467,1.10768,0.0089605,0.0089605,0.0089605
44,3835.24,1.47687,1.16547,1.12497,0.47873,0.37577,0.38174,0.22712,1.39486,1.10005,1.11015,0.00893575,0.00893575,0.00893575
45,3922.47,1.48118,1.16223,1.12477,0.47633,0.37527,0.38342,0.22814,1.39758,1.09665,1.10761,0.008911,0.008911,0.008911
46,4008.99,1.46732,1.14767,1.12042,0.47644,0.38171,0.38814,0.23008,1.39519,1.09227,1.10543,0.00888625,0.00888625,0.00888625
47,4096.68,1.46559,1.14824,1.11828,0.4783,0.38316,0.38885,0.23286,1.39032,1.0869,1.10193,0.0088615,0.0088615,0.0088615
48,4183.97,1.4687,1.15234,1.11862,0.48466,0.38279,0.39124,0.23257,1.38579,1.08605,1.10057,0.00883675,0.00883675,0.00883675
49,4270.18,1.4655,1.14734,1.11565,0.4903,0.3872,0.39586,0.23547,1.38785,1.08117,1.1002,0.008812,0.008812,0.008812
50,4356.48,1.46166,1.14366,1.11544,0.49616,0.38464,0.39694,0.23734,1.38184,1.07796,1.09856,0.00878725,0.00878725,0.00878725
51,4443.25,1.45456,1.13085,1.11475,0.50297,0.37804,0.39495,0.23687,1.37933,1.07599,1.09572,0.0087625,0.0087625,0.0087625
52,4529.86,1.45122,1.12695,1.11456,0.49767,0.3864,0.39649,0.23641,1.38148,1.07246,1.09626,0.00873775,0.00873775,0.00873775
53,4616.55,1.45735,1.12881,1.113,0.48584,0.39266,0.39869,0.23769,1.38022,1.07015,1.09529,0.008713,0.008713,0.008713
54,4703.24,1.45041,1.12466,1.11105,0.49786,0.38875,0.39817,0.23822,1.37719,1.06742,1.09376,0.00868825,0.00868825,0.00868825
55,4790.91,1.44812,1.12334,1.10689,0.51207,0.38871,0.40276,0.24057,1.37331,1.06473,1.0915,0.0086635,0.0086635,0.0086635
