epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,552.074,1.72064,1.34669,1.50744,0.78782,0.63312,0.70188,0.37364,1.81947,1.41363,1.54381,0.00183764,0.00183764,0.00183764
43,565.085,1.67314,1.26596,1.47175,0.7361,0.61582,0.66112,0.31629,1.99639,1.61455,1.66613,0.00183368,0.00183368,0.00183368
44,578.295,1.66673,1.24536,1.4857,0.82554,0.65422,0.71532,0.36725,1.91862,1.40618,1.59016,0.00182972,0.00182972,0.00182972
45,592.034,1.71192,1.341,1.50352,0.78,0.62825,0.68806,0.36221,1.88349,1.53732,1.57959,0.00182576,0.00182576,0.00182576
46,605.138,1.71241,1.36119,1.52689,0.78919,0.63813,0.70599,0.37026,1.84325,1.47054,1.53579,0.0018218,0.0018218,0.0018218
47,618.123,1.6679,1.2458,1.47644,0.76769,0.65983,0.70368,0.35563,1.89229,1.46238,1.57757,0.00181784,0.00181784,0.00181784
48,631.291,1.69099,1.29535,1.46481,0.8038,0.65843,0.71269,0.39671,1.74182,1.52209,1.48408,0.00181388,0.00181388,0.00181388
49,644.472,1.7014,1.22756,1.47054,0.79409,0.63149,0.69977,0.35292,1.95106,1.4831,1.58368,0.00180992,0.00180992,0.00180992
50,657.592,1.63121,1.19252,1.43891,0.80422,0.64123,0.70145,0.36455,1.86492,1.52427,1.54182,0.00180596,0.00180596,0.00180596
51,671.234,1.68045,1.24534,1.47532,0.75935,0.68669,0.70287,0.34926,1.94297,1.44458,1.5712,0.001802,0.001802,0.001802
52,684.53,1.68239,1.23762,1.45093,0.80685,0.65101,0.71928,0.3855,1.88071,1.55298,1.56669,0.00179804,0.00179804,0.00179804
53,697.577,1.66266,1.20422,1.45137,0.78042,0.65422,0.70009,0.3518,1.94529,1.45037,1.61003,0.00179408,0.00179408,0.00179408
54,710.793,1.6807,1.20866,1.46235,0.80942,0.67695,0.7149,0.38592,1.79702,1.46695,1.51734,0.00179012,0.00179012,0.00179012
55,723.843,1.64858,1.23888,1.47954,0.76414,0.66883,0.72353,0.38982,1.78882,1.49508,1.52253,0.00178616,0.00178616,0.00178616
56,737.269,1.61947,1.17551,1.42809,0.77,0.68344,0.71675,0.37221,1.79059,1.5777,1.50667,0.0017822,0.0017822,0.0017822
57,750.111,1.64514,1.15047,1.42939,0.8231,0.63447,0.70888,0.34996,1.9474,1.48971,1.60124,0.00177824,0.00177824,0.00177824
58,763.228,1.65174,1.16236,1.46152,0.79871,0.67634,0.72881,0.38678,1.8464,1.35897,1.52316,0.00177428,0.00177428,0.00177428
59,776.476,1.67666,1.23715,1.46899,0.78012,0.65658,0.69777,0.33941,1.99541,1.38836,1.63812,0.00177032,0.00177032,0.00177032
60,790.153,1.69198,1.24701,1.49462,0.76406,0.64448,0.69084,0.38647,1.74052,1.71085,1.47964,0.00176636,0.00176636,0.00176636
61,803.082,1.62174,1.13177,1.42864,0.7999,0.68182,0.73539,0.38634,1.85833,1.38695,1.53172,0.0017624,0.0017624,0.0017624
62,816.295,1.65436,1.18753,1.44885,0.8009,0.67695,0.72199,0.37424,1.87293,1.33912,1.53745,0.00175844,0.00175844,0.00175844
63,829.34,1.65343,1.21857,1.4576,0.82735,0.63312,0.71756,0.37013,1.90392,1.41799,1.57586,0.00175448,0.00175448,0.00175448
64,843.291,1.64903,1.18309,1.4506,0.81432,0.67634,0.72223,0.36105,1.94263,1.52462,1.58127,0.00175052,0.00175052,0.00175052
65,856.268,1.63134,1.14731,1.43661,0.81656,0.67205,0.73021,0.39451,1.79471,1.38059,1.50135,0.00174656,0.00174656,0.00174656
66,869.406,1.61572,1.13845,1.43928,0.83325,0.62825,0.70613,0.36762,1.87226,1.35087,1.53137,0.0017426,0.0017426,0.0017426
67,882.464,1.60458,1.09485,1.40629,0.82866,0.66734,0.73048,0.40247,1.78249,1.44824,1.50207,0.00173864,0.00173864,0.00173864
68,895.931,1.59387,1.12977,1.4344,0.77046,0.70617,0.73072,0.37462,1.90343,1.39701,1.54273,0.00173468,0.00173468,0.00173468
