epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.4335,1.50013,1.209,0.99679,0.49532,0.3621,0.37587,0.22433,1.45844,1.18407,1.00121,0.0006,0.0006,0.0006
2,121.078,1.48891,1.1972,0.99458,0.47445,0.37625,0.3811,0.22746,1.4527,1.18497,0.99735,0.000599964,0.000599964,0.000599964
3,182.826,1.49314,1.19829,0.9959,0.48168,0.38352,0.38665,0.22863,1.45416,1.16508,0.99496,0.000599855,0.000599855,0.000599855
4,243.768,1.48676,1.19155,0.99421,0.46829,0.37818,0.38279,0.22824,1.44815,1.1688,0.99752,0.000599674,0.000599674,0.000599674
5,304.513,1.48474,1.18761,0.99368,0.46504,0.37782,0.38007,0.22848,1.44417,1.17041,0.99485,0.00059942,0.00059942,0.00059942
6,365.09,1.48946,1.19344,0.996,0.47686,0.37195,0.37917,0.22746,1.46093,1.16822,0.99672,0.000599094,0.000599094,0.000599094
7,425.786,1.48526,1.18506,0.99157,0.47335,0.3909,0.39258,0.23328,1.43525,1.15575,0.99381,0.000598695,0.000598695,0.000598695
8,486.818,1.48447,1.18598,0.99518,0.48165,0.38942,0.39176,0.23404,1.44077,1.15514,0.99169,0.000598225,0.000598225,0.000598225
9,547.73,1.48544,1.19099,0.99367,0.48396,0.38762,0.39322,0.23408,1.43853,1.15996,0.99365,0.000597682,0.000597682,0.000597682
10,609.235,1.48353,1.18609,0.99553,0.47515,0.37829,0.38485,0.22882,1.43866,1.16844,0.99642,0.000597067,0.000597067,0.000597067
11,669.885,1.47687,1.18283,0.99236,0.47474,0.38332,0.39077,0.232,1.43599,1.14484,0.99179,0.00059638,0.00059638,0.00059638
12,730.66,1.48262,1.18838,0.99438,0.48007,0.38478,0.38833,0.22983,1.44157,1.1589,0.99689,0.000595622,0.000595622,0.000595622
13,790.858,1.47867,1.17539,0.99415,0.46858,0.39793,0.39407,0.23179,1.44508,1.1531,0.99638,0.000594792,0.000594792,0.000594792
14,851.695,1.48483,1.18157,0.99255,0.47207,0.38711,0.39174,0.23277,1.44328,1.15076,0.99338,0.000593892,0.000593892,0.000593892
15,912.098,1.48122,1.17726,0.99269,0.48372,0.37492,0.38571,0.23221,1.43197,1.15951,0.99345,0.00059292,0.00059292,0.00059292
16,973.047,1.47235,1.17307,0.99173,0.47387,0.38812,0.39308,0.23187,1.44885,1.15157,1.00125,0.000591877,0.000591877,0.000591877
17,1033.82,1.47732,1.17467,0.99212,0.4712,0.38839,0.39544,0.23587,1.43177,1.15146,0.99318,0.000590763,0.000590763,0.000590763
18,1095.33,1.47269,1.1679,0.98947,0.48586,0.38312,0.394,0.23507,1.4382,1.15185,0.99405,0.00058958,0.00058958,0.00058958
19,1156.3,1.47704,1.17556,0.99107,0.4795,0.3967,0.39743,0.23867,1.422,1.13909,0.99169,0.000588326,0.000588326,0.000588326
20,1216.67,1.47138,1.16669,0.99038,0.48471,0.38865,0.39323,0.23524,1.42499,1.14662,0.9926,0.000587003,0.000587003,0.000587003
21,1277.12,1.47148,1.16605,0.99102,0.48729,0.39531,0.40236,0.24107,1.4251,1.13773,0.99179,0.000585611,0.000585611,0.000585611
22,1338.55,1.4671,1.16439,0.99053,0.49457,0.38632,0.40072,0.24129,1.42254,1.13367,0.99083,0.000584149,0.000584149,0.000584149
23,1399.23,1.46802,1.16118,0.9887,0.48708,0.38858,0.39653,0.23921,1.41118,1.12899,0.98753,0.000582619,0.000582619,0.000582619
24,1459.67,1.46396,1.16409,0.98864,0.49183,0.38905,0.39942,0.23988,1.41987,1.1367,0.98996,0.000581021,0.000581021,0.000581021
25,1520.04,1.46169,1.1566,0.98982,0.48356,0.39706,0.40023,0.23964,1.4232,1.13575,0.99099,0.000579354,0.000579354,0.000579354
26,1580.98,1.47137,1.16215,0.9895,0.46985,0.39726,0.3987,0.23859,1.42747,1.13199,0.99255,0.000577621,0.000577621,0.000577621
27,1641.42,1.46601,1.16116,0.99027,0.47972,0.39255,0.39973,0.24024,1.42256,1.13389,0.99087,0.00057582,0.00057582,0.00057582
28,1702.07,1.46258,1.15384,0.98722,0.47918,0.39223,0.39785,0.2378,1.42163,1.1302,0.98891,0.000573953,0.000573953,0.000573953
29,1763.48,1.47006,1.15978,0.98988,0.49219,0.38944,0.39752,0.23818,1.42991,1.14051,0.99178,0.000572019,0.000572019,0.000572019
30,1824.33,1.46703,1.1579,0.98936,0.48543,0.39698,0.40139,0.24073,1.41129,1.12218,0.9889,0.00057002,0.00057002,0.00057002
31,1884.77,1.45799,1.14956,0.98634,0.49175,0.3984,0.40536,0.24203,1.41546,1.12233,0.98894,0.000567956,0.000567956,0.000567956
32,1946.13,1.46391,1.15254,0.98825,0.49293,0.39533,0.40431,0.24212,1.41677,1.12233,0.99085,0.000565827,0.000565827,0.000565827
33,2007.05,1.46031,1.14977,0.98724,0.49669,0.38938,0.40278,0.24256,1.40845,1.12034,0.98594,0.000563634,0.000563634,0.000563634
34,2067.9,1.45933,1.14739,0.98641,0.49702,0.39354,0.4033,0.2432,1.41079,1.11586,0.98591,0.000561378,0.000561378,0.000561378
35,2128.83,1.45722,1.14659,0.9864,0.49867,0.39211,0.40153,0.24196,1.41029,1.12144,0.98644,0.000559058,0.000559058,0.000559058
36,2189.79,1.45681,1.14697,0.98734,0.49759,0.39766,0.40581,0.24223,1.41578,1.12067,0.99022,0.000556676,0.000556676,0.000556676
37,2250.53,1.4517,1.14382,0.98527,0.48964,0.39909,0.40608,0.24434,1.40648,1.11893,0.98704,0.000554232,0.000554232,0.000554232
38,2311.14,1.4566,1.14265,0.98664,0.50609,0.38863,0.40704,0.24384,1.41001,1.11998,0.98853,0.000551727,0.000551727,0.000551727
39,2371.99,1.45711,1.14458,0.98659,0.5063,0.39622,0.40877,0.24442,1.40962,1.12496,0.98584,0.000549162,0.000549162,0.000549162
40,2432.49,1.45395,1.14025,0.98617,0.50292,0.3957,0.40858,0.24544,1.40186,1.1119,0.98357,0.000546536,0.000546536,0.000546536
41,2493.77,1.44673,1.13483,0.98289,0.50332,0.39859,0.41033,0.24517,1.40535,1.11314,0.98681,0.000543851,0.000543851,0.000543851
42,2554.88,1.45702,1.14093,0.9855,0.50833,0.39462,0.40765,0.24478,1.40683,1.11347,0.98569,0.000541107,0.000541107,0.000541107
43,2616.12,1.45546,1.14126,0.98603,0.50265,0.39742,0.40749,0.24467,1.40255,1.11252,0.9858,0.000538306,0.000538306,0.000538306
44,2677.73,1.45239,1.1363,0.98465,0.49831,0.39529,0.40994,0.2461,1.40021,1.10622,0.98382,0.000535447,0.000535447,0.000535447
45,2739.39,1.44526,1.13169,0.98477,0.49463,0.40145,0.40973,0.24612,1.40016,1.11045,0.98493,0.000532531,0.000532531,0.000532531
46,2801.39,1.449,1.13265,0.98397,0.50089,0.3957,0.4119,0.24715,1.40044,1.10608,0.98339,0.000529559,0.000529559,0.000529559
47,2863.42,1.4431,1.12905,0.98289,0.50703,0.39321,0.40675,0.24318,1.39927,1.1115,0.98262,0.000526533,0.000526533,0.000526533
48,2923.96,1.44667,1.13242,0.98258,0.50458,0.40292,0.41364,0.248,1.39514,1.10217,0.9825,0.000523452,0.000523452,0.000523452
49,2984.88,1.43352,1.11576,0.98101,0.51209,0.39768,0.41194,0.24725,1.40158,1.1054,0.98445,0.000520317,0.000520317,0.000520317
50,3045.78,1.44464,1.12819,0.98169,0.50842,0.39937,0.41109,0.24662,1.40205,1.10409,0.98365,0.000517129,0.000517129,0.000517129
51,3106.26,1.43685,1.12005,0.98147,0.50892,0.40038,0.41087,0.24662,1.39363,1.10576,0.98263,0.000513889,0.000513889,0.000513889
52,3166.65,1.44109,1.12024,0.98258,0.50046,0.40433,0.4155,0.24939,1.39664,1.10182,0.98436,0.000510598,0.000510598,0.000510598
53,3226.99,1.43727,1.11815,0.98138,0.51078,0.4017,0.41358,0.24888,1.3955,1.10058,0.98397,0.000507257,0.000507257,0.000507257
54,3288.89,1.43763,1.1182,0.98031,0.50766,0.40195,0.41368,0.24825,1.39484,1.09909,0.98263,0.000503866,0.000503866,0.000503866
55,3349.9,1.43965,1.12393,0.98216,0.50194,0.4036,0.41483,0.25031,1.39066,1.09669,0.98239,0.000500426,0.000500426,0.000500426
56,3410.83,1.43818,1.11982,0.98001,0.51673,0.40231,0.41585,0.25023,1.3932,1.09474,0.98197,0.000496938,0.000496938,0.000496938
57,3471.43,1.43536,1.11481,0.97986,0.51602,0.40347,0.41385,0.24941,1.39585,1.09964,0.98275,0.000493403,0.000493403,0.000493403
58,3532.64,1.43651,1.11135,0.97912,0.51864,0.39882,0.41636,0.2501,1.39298,1.09717,0.98233,0.000489821,0.000489821,0.000489821
59,3593.71,1.43502,1.11303,0.9811,0.50662,0.40984,0.41775,0.25168,1.38942,1.09497,0.9808,0.000486195,0.000486195,0.000486195
60,3655.21,1.42748,1.10764,0.97876,0.50394,0.41033,0.41365,0.24889,1.39244,1.09796,0.98075,0.000482524,0.000482524,0.000482524
61,3715.84,1.43264,1.11102,0.98054,0.50535,0.40095,0.41496,0.24988,1.39136,1.09512,0.98228,0.000478809,0.000478809,0.000478809
62,3776.89,1.43163,1.10644,0.98056,0.51017,0.41597,0.42145,0.25366,1.38898,1.08959,0.98236,0.000475052,0.000475052,0.000475052
63,3838.33,1.4354,1.11146,0.97959,0.52488,0.40218,0.41901,0.25118,1.39083,1.09072,0.98251,0.000471253,0.000471253,0.000471253
64,3898.86,1.43545,1.11068,0.97979,0.5137,0.40317,0.41862,0.25206,1.38938,1.09191,0.98249,0.000467413,0.000467413,0.000467413
65,3959.82,1.43252,1.11364,0.97997,0.51328,0.40616,0.41897,0.25177,1.38601,1.09135,0.98162,0.000463533,0.000463533,0.000463533
66,4020.21,1.43571,1.11409,0.9803,0.51482,0.40706,0.41887,0.25266,1.38788,1.08979,0.98063,0.000459615,0.000459615,0.000459615
67,4081.52,1.42735,1.10167,0.97763,0.51466,0.40905,0.42078,0.25398,1.38939,1.0905,0.98112,0.000455658,0.000455658,0.000455658
68,4142.31,1.43821,1.11091,0.98115,0.51377,0.40969,0.42031,0.25325,1.38781,1.086,0.98032,0.000451665,0.000451665,0.000451665
69,4203.07,1.42535,1.10162,0.97919,0.51814,0.41187,0.42295,0.25501,1.387,1.08524,0.97967,0.000447636,0.000447636,0.000447636
70,4265.06,1.4276,1.09526,0.97782,0.51895,0.40399,0.4207,0.25435,1.38555,1.08673,0.97981,0.000443571,0.000443571,0.000443571
71,4326.35,1.42396,1.09743,0.97793,0.51533,0.40787,0.42189,0.25493,1.38794,1.08537,0.98008,0.000439473,0.000439473,0.000439473
72,4386.77,1.42161,1.09536,0.9771,0.51498,0.40893,0.42263,0.25464,1.38777,1.0869,0.98059,0.000435342,0.000435342,0.000435342
73,4447.75,1.42702,1.10098,0.9772,0.51631,0.4113,0.42346,0.25467,1.3844,1.08414,0.97953,0.000431179,0.000431179,0.000431179
74,4508.51,1.42492,1.09504,0.97643,0.51305,0.41035,0.42196,0.25426,1.38525,1.08214,0.98007,0.000426985,0.000426985,0.000426985
75,4570.06,1.41663,1.08675,0.97636,0.51307,0.41154,0.42451,0.25685,1.3846,1.08289,0.97993,0.000422761,0.000422761,0.000422761
76,4631.74,1.42128,1.09165,0.97522,0.51759,0.40583,0.42312,0.25471,1.38441,1.08243,0.98023,0.000418509,0.000418509,0.000418509
77,4693.1,1.42256,1.08977,0.97624,0.50804,0.41669,0.42374,0.25563,1.38293,1.08186,0.97855,0.000414229,0.000414229,0.000414229
78,4754.37,1.41427,1.08661,0.9736,0.5139,0.41157,0.42333,0.25484,1.38551,1.08277,0.9798,0.000409922,0.000409922,0.000409922
79,4815.08,1.41455,1.08427,0.97514,0.51594,0.41057,0.42236,0.25488,1.38293,1.08172,0.97974,0.000405589,0.000405589,0.000405589
80,4876.54,1.41693,1.09148,0.97523,0.517,0.41181,0.42258,0.25542,1.3833,1.07913,0.97966,0.000401232,0.000401232,0.000401232
81,4937.96,1.41199,1.08465,0.97409,0.52367,0.40496,0.42168,0.25464,1.38371,1.08004,0.97965,0.000396851,0.000396851,0.000396851
82,4998.6,1.41735,1.08795,0.97661,0.52563,0.40305,0.42131,0.25404,1.38423,1.08007,0.97966,0.000392448,0.000392448,0.000392448
83,5059.41,1.41053,1.08246,0.97347,0.5222,0.40539,0.42167,0.25439,1.38437,1.08066,0.97914,0.000388023,0.000388023,0.000388023
84,5120.81,1.41896,1.0893,0.97668,0.51476,0.40913,0.42153,0.25395,1.38447,1.07981,0.97984,0.000383579,0.000383579,0.000383579
85,5181.69,1.40832,1.07837,0.97238,0.52297,0.40427,0.42163,0.25401,1.38315,1.07867,0.97928,0.000379115,0.000379115,0.000379115
86,5243.59,1.41339,1.08061,0.97469,0.52142,0.40959,0.42262,0.25508,1.38249,1.079,0.97886,0.000374633,0.000374633,0.000374633
87,5304.65,1.40623,1.07414,0.97279,0.52443,0.40929,0.42368,0.25559,1.38209,1.0792,0.97875,0.000370134,0.000370134,0.000370134
88,5365.56,1.41569,1.08057,0.97529,0.51826,0.41449,0.42264,0.25438,1.38034,1.07654,0.97861,0.000365619,0.000365619,0.000365619
89,5426.88,1.40728,1.07899,0.97352,0.52385,0.40893,0.4236,0.25588,1.38025,1.07662,0.97859,0.00036109,0.00036109,0.00036109
90,5487.92,1.41517,1.0832,0.97607,0.52408,0.41025,0.42399,0.25563,1.38192,1.07737,0.97931,0.000356547,0.000356547,0.000356547
91,5548.6,1.40749,1.07105,0.97237,0.52382,0.40719,0.42248,0.25487,1.38253,1.07706,0.97926,0.000351992,0.000351992,0.000351992
92,5610.12,1.40919,1.0712,0.97227,0.52375,0.4092,0.42532,0.25651,1.3807,1.07464,0.97854,0.000347425,0.000347425,0.000347425
